Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,404.602441,347.409443,358.416511,319.748721
Wing,144.341984,111.232470,29.768437,23.834312
Wing,144.341984,111.232470,29.768437,23.834312
engine,41.787429,39.323516,7.384857,7.220320
engine,41.787429,39.323516,7.384857,7.220320
fan,6.859694,3.704679,0.780243,0.437808
fan,6.859694,3.704679,0.780243,0.437808
PodGeom,1.789208,1.422820,0.141629,0.117017
PodGeom,1.789208,1.422820,0.141629,0.117017
base fuselage,163.883089,52.643626,137.709062,45.960195
horizontal stabilizer,44.170591,35.739255,5.943596,4.996538
horizontal stabilizer,44.170591,35.739255,5.943596,4.996538
vertical stabilizer,65.822991,59.806121,9.144667,8.632639
fixation,6.816259,3.032586,0.799295,0.369472
fixation,6.816259,3.032586,0.799295,0.369472
Totals,1125.838851,848.769842,594.906355,448.292492

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,404.602441,347.409443
Wing_S_Surf0,144.341984,111.232470
Wing_S_Surf1,144.341984,111.232470
engine_S_Surf0,41.787429,39.323516
engine_S_Surf1,41.787429,39.323516
fan_S_Surf0,6.859694,3.704679
fan_S_Surf1,6.859694,3.704679
PodGeom_S_Surf0,1.789208,1.422820
PodGeom_S_Surf1,1.789208,1.422820
base fuselage_S_Surf0,163.883089,52.643626
horizontal stabilizer_S_Surf0,44.170591,35.739255
horizontal stabilizer_S_Surf1,44.170591,35.739255
vertical stabilizer_S_Surf0,65.822991,59.806121
fixation_S_Surf0,6.816259,3.032586
fixation_S_Surf1,6.816259,3.032586
